,Movie Name,Year of Release,Genre,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
0,Nefes: Vatan Sagolsun,(2009),"Action, Drama, Thriller            ",128 min,8.0,-,"32,413",-,Story of 40-man Turkish task force who must defend a relay station.
1,Anand,(1971),"Drama, Musical            ",122 min,8.3,-,"32,050",-,"The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend."
2,English Vinglish,(2012),"Comedy, Drama, Family            ",134 min,7.8,-,"34,387",$1.67M,"A quiet, sweet tempered housewife endures small slights from her well-educated husband and daughter every day because of her inability to speak and understand English."
3,Vizontele,(2001),"Comedy, Drama            ",110 min,8.0,-,"34,652",-,Lives of residents in a small Anatolian village change when television is introduced to them
4,Zelig,(1983),Comedy            ,79 min,7.7,-,"40,538",$11.80M,"""Documentary"" about a man who can look and act like whoever he's around, and meets various famous people."
5,Udaan,(2010),Drama            ,134 min,8.2,-,"43,305",$0.01M,"Expelled from his school, a 16-year old boy returns home to his abusive and oppressive father."
6,Vid himlens utkant,(2007),Drama            ,122 min,7.8,85        ,"31,191",$0.74M,A Turkish man travels to Istanbul to find the daughter of his father's former girlfriend.
7,En mycket speciell middag,(1998),Comedy            ,80 min,7.7,73        ,"38,162",$4.07M,"A few friends have a weekly fools' dinner, where each brings a fool along. Pierre finds a champion fool for next dinner. Surprise."
8,OMG: Oh My God!,(2012),"Comedy, Drama, Fantasy            ",125 min,8.1,-,"53,704",$0.92M,A shopkeeper takes God to court when his shop is destroyed by an earthquake.
9,Chak De! India,(2007),"Drama, Family, Sport            ",153 min,8.2,68        ,"76,038",$1.11M,"Kabir Khan, the coach of the Indian Women's National Hockey Team, dreams of making his all-girls team emerge victorious against all odds."
10,Cirkus,(1928),"Comedy, Romance            ",72 min,8.1,90        ,"31,181",-,The Tramp finds work and the girl of his dreams at a circus.
11,Lage Raho Munna Bhai,(2006),"Comedy, Drama, Romance            ",144 min,8.0,-,"44,232",$2.22M,Munna Bhai embarks on a journey with Mahatma Gandhi in order to fight against a corrupt property dealer.
12,Vicky Donor,(2012),"Comedy, Romance            ",126 min,7.8,-,"40,719",$0.17M,"A man is brought in by an infertility doctor to supply him with his sperm, where he becomes the biggest sperm donor for his clinic."
13,Raazi,(2018),"Action, Drama, Thriller            ",138 min,7.8,-,"26,746",-,A Kashmiri woman agrees to marry a Pakistani army officer in order to spy on Pakistan during the Indo-Pakistan War of 1971.
14,Den stora illusionen,(1937),"Drama, War            ",113 min,8.1,-,"34,506",$0.17M,"During WWI, two French soldiers are captured and imprisoned in a German P.O.W. camp. Several escape attempts follow until they are eventually sent to a seemingly inescapable fortress."
15,Knockin' on Heaven's Door,(1997),"Action, Crime, Comedy            ",87 min,7.9,-,"28,360",$0.00M,"Two terminally ill patients escape from a hospital, steal a car and rush towards the sea."
16,Sholay,(1975),"Action, Adventure, Comedy            ",204 min,8.2,-,"52,681",-,"After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit."
17,Mupparnas julsaga,(1992),"Comedy, Drama, Family            ",85 min,7.7,64        ,"51,022",$27.28M,The Muppet characters tell their version of the classic tale of an old and bitter miser's redemption on Christmas Eve.
18,"Fart, flickor och faror",(1924),"Action, Comedy, Romance            ",45 min,8.2,-,"44,105",$0.98M,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch."
19,Paan Singh Tomar,(2012),"Action, Biography, Crime            ",135 min,8.2,-,"34,301",$0.04M,"The story of Paan Singh Tomar, an Indian athlete and seven-time national steeplechase champion who becomes one of the most feared dacoits in Chambal Valley after his retirement."
20,Fiendeland,(2005),"Drama, History, Music            ",116 min,7.7,70        ,"28,321",$1.05M,"In December 1914, an unofficial Christmas truce on the Western Front allows soldiers from opposing sides of the First World War to gain insight into each other's way of life."
21,Black,(2005),Drama            ,122 min,8.2,-,"33,833",$0.73M,"The cathartic tale of a young woman who can't see, hear or talk and the teacher who brings a ray of light into her dark world."
22,Nine Queens,(2000),"Crime, Drama, Thriller            ",114 min,7.9,80        ,"50,688",$1.22M,"Two con artists try to swindle a stamp collector by selling him a sheet of counterfeit rare stamps (the ""nine queens"")."
23,Kai po che!,(2013),"Drama, Sport            ",130 min,7.8,40        ,"34,231",$1.12M,Three friends growing up in India at the turn of the millennium set out to open a training academy to produce the country's next cricket stars.
24,Död och pina,(1975),"Comedy, War            ",85 min,7.7,89        ,"36,778",-,"In czarist Russia, a neurotic soldier and his distant cousin formulate a plot to assassinate Napoleon."
25,Spelets regler,(1939),"Comedy, Drama            ",110 min,8.0,-,"27,279",-,"A bourgeois life in France at the onset of World War II, as the rich and their poor servants meet up at a French chateau."
26,Galakväll på operan,(1935),"Comedy, Music, Musical            ",96 min,7.9,-,"31,157",$2.54M,A sly business manager and two wacky friends of two opera singers help them achieve success while humiliating their stuffy and snobbish enemies.
27,Hiroshima - min älskade,(1959),"Drama, Romance            ",90 min,7.9,-,"29,402",$0.09M,A French actress filming an anti-war film in Hiroshima has an affair with a married Japanese architect as they share their differing perspectives on war.
28,Hämnden,(2010),"Drama, Romance            ",118 min,7.6,65        ,"38,959",$1.01M,"The lives of two Danish families cross each other, and an extraordinary but risky friendship comes into bud. But loneliness, frailty and sorrow lie in wait."
29,G.O.R.A.,(2004),"Adventure, Comedy, Sci-Fi            ",127 min,8.0,-,"58,837",-,A slick young Turk kidnapped by extraterrestrials shows his great « humanitarian spirit » by outwitting the evil commander-in-chief of the planet of G.O.R.A.
30,Den lilla butiken,(1940),"Comedy, Drama, Romance            ",99 min,8.1,96        ,"29,283",$0.20M,"Two employees at a gift shop can barely stand each other, without realizing that they are falling in love through the post as each other's anonymous pen pal."
31,A Wednesday,(2008),"Action, Crime, Drama            ",104 min,8.1,-,"75,289",-,A retiring police officer reminisces about the most astounding day of his career. About a case that was never filed but continues to haunt him in his memories - the case of a man and a Wednesday.
32,Glödhett,(1949),"Action, Crime, Drama            ",114 min,8.1,-,"30,538",-,A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.
33,Airlift,(2016),"Drama, History            ",130 min,8.0,-,"54,074",-,"When Iraq invades Kuwait in August 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen."
34,Waltz with Bashir,(2008),"Animation, Biography, Drama            ",90 min,8.0,91        ,"55,813",$2.28M,An Israeli film director interviews fellow veterans of the 1982 invasion of Lebanon to reconstruct his own memories of his term of service in that conflict.
35,Jungfrukällan,(1960),Drama            ,89 min,8.1,-,"27,393",$1.53M,"An innocent yet pampered young virgin and her family's pregnant and jealous servant set out to deliver candles to church, but only one returns from events that transpire in the woods along the way."
36,Mandarinodlaren,(2013),"Drama, War            ",87 min,8.2,73        ,"42,894",$0.14M,"In 1992, war rages in Abkhazia, a breakaway region of Georgia. An Estonian man Ivo has decided to stay behind and harvest his crops of tangerines. In a bloody conflict at his door, a wounded man is left behind, and Ivo takes him in."
37,Brotherhood of War - Taegukgi,(2004),"Action, Drama, War            ",140 min,8.0,64        ,"38,282",$1.11M,"When two brothers are forced to fight in the Korean War, the elder decides to take the riskiest missions if it will help shield the younger from battle."
38,C.R.A.Z.Y.,(2005),"Comedy, Drama            ",129 min,7.9,81        ,"31,730",-,"A young French Canadian, one of five boys in a conservative family in the 1960s and 1970s, struggles to reconcile his emerging identity with his father's values."
39,Andaz Apna Apna,(1994),"Action, Comedy, Romance            ",160 min,8.1,-,"50,979",-,Two slackers competing for the affections of an heiress inadvertently become her protectors from an evil criminal.
40,Central do Brasil,(1998),Drama            ,110 min,8.0,80        ,"37,359",$5.60M,"An emotive journey of a former school teacher, who writes letters for illiterate people, and a young boy, whose mother has just died, as they search for the father he never knew."
41,Sanjuro,(1962),"Action, Comedy, Crime            ",96 min,8.1,-,"34,125",-,"A crafty samurai helps a young man and his fellow clansmen trying to save his uncle, who has been framed and imprisoned by a corrupt superintendent."
42,Udta Punjab,(2016),"Action, Crime, Drama            ",148 min,7.8,-,"28,150",-,A story that revolves around drug abuse in the affluent north Indian State of Punjab and how the youth there have succumbed to it en-masse resulting in a socio-economic decline.
43,Förspillda dagar,(1945),"Drama, Film-Noir            ",101 min,7.9,-,"34,380",$9.46M,The desperate life of a chronic alcoholic is followed through a four-day drinking bout.
44,Dev.D,(2009),"Drama, Romance            ",144 min,8.0,-,"29,377",$0.01M,"After breaking up with his childhood sweetheart, a young man finds solace in drugs. Meanwhile, a teenage girl is caught in the world of prostitution. Will they be destroyed, or will they find redemption?"
45,Det förflutna,(2013),"Drama, Mystery            ",130 min,7.7,85        ,"45,864",$1.33M,"An Iranian man deserts his French wife and her two children to return to his homeland. Meanwhile, his wife starts up a new relationship, a reality her husband confronts upon his wife's request for a divorce."
46,Pansarkryssaren Potemkin,(1925),"Drama, History, Thriller            ",75 min,8.0,97        ,"54,317",$0.05M,"In the midst of the Russian Revolution of 1905, the crew of the battleship Potemkin mutiny against the brutal, tyrannical regime of the vessel's officers. The resulting street demonstration in Odessa brings on a police massacre."
47,Sju hertigar,(1949),"Comedy, Crime            ",106 min,8.0,-,"35,177",-,A distant poor relative of the Duke D'Ascoyne plots to inherit the title by murdering the eight other heirs who stand ahead of him in the line of succession.
48,Tropa de Elite 2,(2010),"Action, Crime, Drama            ",115 min,8.0,71        ,"80,269",$0.10M,"After a prison riot, former-Captain Nascimento, now a high ranking security officer in Rio de Janeiro, is swept into a bloody political dispute that involves government officials and paramilitary groups."
49,The Killer,(1989),"Action, Crime, Drama            ",111 min,7.8,82        ,"46,298",-,A disillusioned assassin accepts one last hit in hopes of using his earnings to restore vision to a singer he accidentally blinded.
50,Kairos röda ros,(1985),"Comedy, Fantasy, Romance            ",82 min,7.7,75        ,"47,995",$10.63M,"In New Jersey in 1935, a movie character walks off the screen and into the real world."
51,Dilwale Dulhania Le Jayenge,(1995),"Drama, Romance            ",189 min,8.1,-,"65,367",-,"When Raj meets Simran in Europe, it isn't love at first sight but when Simran moves to India for an arranged marriage, love makes its presence felt."
52,Veer-Zaara,(2004),"Drama, Family, Musical            ",192 min,7.8,67        ,"50,268",$2.92M,"Veer-Zaara is a saga of love, separation, courage and sacrifice. A love story that is an inspiration and will remain a legend forever."
53,Once Upon a Time in Anatolia,(2011),"Crime, Drama            ",157 min,7.9,82        ,"43,620",$0.14M,A group of men set out in search of a dead body in the Anatolian steppes.
54,Hana-bi,(1997),"Crime, Drama, Romance            ",103 min,7.8,-,"28,554",$0.23M,"Nishi leaves the police in the face of harrowing personal and professional difficulties. Spiraling into depression, he makes questionable decisions."
55,Hera Pheri,(2000),"Action, Comedy, Crime            ",156 min,8.2,-,"59,879",-,"Three unemployed men look for answers to all their money problems - but when their opportunity arrives, will they know what to do with it?"
56,Mordängeln,(1962),"Drama, Fantasy            ",95 min,8.1,-,"30,547",-,The guests at an upper-class dinner party find themselves unable to leave.
57,Ingenmansland,(I) (2001),"Comedy, Drama, War            ",98 min,7.9,84        ,"45,391",$1.06M,"Bosnia and Herzegovina during 1993 at the time of the heaviest fighting between the two warring sides. Two soldiers from opposing sides in the conflict, Nino and Ciki, become trapped in no man's land, whilst a third soldier becomes a living booby trap."
58,Barfi!,(2012),"Comedy, Drama, Romance            ",151 min,8.1,-,"77,619",$2.80M,Three young people learn that love can neither be defined nor contained by society's definition of normal and abnormal.
59,Den röda lyktan,(1991),"Drama, History, Romance            ",125 min,8.1,-,"30,410",$2.60M,"A young woman becomes the fourth wife of a wealthy lord, and must learn to live with the strict rules and tensions within the household."
60,Badhaai ho,(2018),"Comedy, Drama            ",124 min,8.0,-,"29,766",-,A man is embarrassed when he finds out his mother is pregnant.
61,"Svart katt, vit katt",(1998),"Comedy, Crime, Romance            ",127 min,8.1,73        ,"51,765",$0.35M,Matko and his son Zare live on the banks of the Danube river and get by through hustling and basically doing anything to make a living. In order to pay off a business debt Matko agrees to marry off Zare to the sister of a local gangster.
62,Vampire Hunter D: Bloodlust,(2000),"Animation, Action, Fantasy            ",103 min,7.7,62        ,"29,942",$0.15M,"When a girl is abducted by a vampire, a legendary bounty hunter is hired to bring her back."
63,The Visitor,(I) (2007),Drama            ,104 min,7.6,79        ,"41,906",$9.42M,A college professor travels to New York City to attend a conference and finds a young couple living in his apartment.
64,Cell 211,(2009),"Action, Adventure, Crime            ",113 min,7.6,-,"65,000",-,"The story of two men on different sides of a prison riot -- the inmate leading the rebellion and the young guard trapped in the revolt, who poses as a prisoner in a desperate attempt to survive the ordeal."
65,Yeopgijeogin geunyeo,(2001),"Comedy, Drama, Romance            ",137 min,8.0,-,"46,089",-,"A young man sees a drunk, cute woman standing too close to the tracks at a metro station in Seoul and pulls her back. She ends up getting him into trouble repeatedly after that, starting on the train."
66,Ivans barndom,(1962),"Drama, War            ",95 min,8.1,-,"33,049",-,"During WWII, Soviet orphan Ivan Bondarev strikes up a friendship with three sympathetic Soviet officers while working as a scout behind the German lines."
67,Il postino - postiljonen,(1994),"Biography, Comedy, Drama            ",108 min,7.7,81        ,"34,437",$21.85M,"A simple Italian postman learns to love poetry while delivering mail to a famous poet, and then uses this to woo local beauty Beatrice."
68,Farväl min konkubin,(1993),"Drama, Music, Romance            ",171 min,8.1,83        ,"25,903",$5.22M,Two boys meet at an opera training school in Peking in 1924. Their resulting friendship will span nearly 70 years and will endure some of the most troublesome times in China's history.
69,The Secret of Kells,(2009),"Animation, Adventure, Family            ",71 min,7.6,81        ,"33,137",$0.69M,"A young boy in a remote medieval outpost under siege from barbarian raids is beckoned to adventure when a celebrated master illuminator arrives with an ancient book, brimming with secret wisdom and powers."
70,Gosskören,(2004),"Comedy, Drama, Music            ",97 min,7.9,56        ,"58,766",$3.64M,The new teacher at a severely administered boys' boarding school works to positively affect the students' lives through music.
71,Jules och Jim,(1962),"Drama, Romance            ",105 min,7.8,97        ,"38,731",-,Decades of a love triangle concerning two friends and an impulsive woman.
72,Haider,(2014),"Action, Crime, Drama            ",160 min,8.1,-,"51,544",$0.90M,"A young man returns to Kashmir after his father's disappearance to confront his uncle, whom he suspects of playing a role in his father's fate."
73,'Sleuth' - Spårhunden,(1972),"Mystery, Thriller            ",138 min,8.0,-,"45,458",$4.08M,"A man who loves games and theater invites his wife's lover to meet him, setting up a battle of wits with potentially deadly results."
74,Babam ve Oglum,(2005),"Drama, Family            ",112 min,8.3,-,"81,497",-,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.
75,Pink,(III) (2016),"Crime, Drama, Thriller            ",136 min,8.1,-,"41,218",$1.24M,"When three young women are implicated in a crime, a retired lawyer steps forward to help them clear their names."
76,Leva sitt liv,(1962),Drama            ,80 min,8.0,-,"29,238",-,Twelve episodic tales in the life of a Parisian woman and her slow descent into prostitution.
77,Äventyret,(1960),"Drama, Mystery, Romance            ",144 min,7.9,-,"27,403",-,"A woman disappears during a Mediterranean boating trip. During the search, her lover and her best friend become attracted to each other."
78,Avsked,(2008),"Drama, Music            ",130 min,8.1,68        ,"49,514",$1.50M,A newly unemployed cellist takes a job preparing the dead for funerals.
79,Joint Security Area,(2000),"Action, Drama, Thriller            ",110 min,7.8,58        ,"27,563",-,"After a shooting incident at the North/South Korean border/DMZ leaves 2 North Korean soldiers dead, a neutral Swiss/Swedish team investigates, what actually happened."
80,Special 26,(2013),"Crime, Drama, Thriller            ",144 min,8.0,-,"52,572",$1.08M,A gang of con-men rob prominent rich businessmen and politicians by posing as C.B.I and income tax officers.
81,De oskyldiga,(1961),Horror            ,100 min,7.8,88        ,"27,837",$2.62M,A young governess for two children becomes convinced that the house and grounds are haunted.
82,Segerns sötma,(1957),"Drama, Film-Noir            ",96 min,8.0,100        ,"29,110",-,Powerful but unethical Broadway columnist J.J. Hunsecker coerces unscrupulous press agent Sidney Falco into breaking up his sister's romance with a jazz musician.
83,Masaan,(2015),Drama            ,109 min,8.2,-,"25,070",-,"Along India's Ganges River, four people face prejudice, a strict moral code and a punishing caste system as they confront personal tragedies."
84,Så går det till i krig,(1926),"Action, Adventure, Comedy            ",67 min,8.1,-,"83,308",$1.03M,"When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines."
85,"4 månader, 3 veckor och 2 dagar",(2007),Drama            ,113 min,7.9,97        ,"57,661",$1.19M,A woman assists her friend in arranging an illegal abortion in 1980s Romania.
86,Den gäckande skuggan,(1934),"Comedy, Crime, Mystery            ",91 min,8.0,86        ,"27,385",-,"Former detective Nick Charles and his wealthy wife Nora investigate a murder case, mostly for the fun of it."
87,Cabirias nätter,(1957),Drama            ,110 min,8.1,-,"44,210",$0.75M,A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak.
88,Talvar,(2015),"Crime, Drama, Mystery            ",132 min,8.2,-,"32,473",$0.34M,An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide.
89,Fyra fula fiskar,(1933),"Comedy, Musical, War            ",69 min,7.8,93        ,"56,432",-,Rufus T. Firefly is named president/dictator of bankrupt Freedonia and declares war on neighboring Sylvania over the love of wealthy Mrs. Teasdale.
90,Jab We Met,(2007),"Comedy, Drama, Romance            ",138 min,7.9,-,"49,230",$0.41M,A depressed wealthy businessman finds his life changing after he meets a spunky and care-free young woman.
91,Kort möte,(1945),"Drama, Romance            ",86 min,8.0,92        ,"36,980",-,"Meeting a stranger in a railway station, a woman is tempted to cheat on her husband."
92,Munna Bhai M.B.B.S.,(2003),"Comedy, Drama            ",156 min,8.1,-,"76,104",-,A gangster sets out to fulfill his father's dream of becoming a doctor.
93,Zigenarnas tid,(1988),"Comedy, Crime, Drama            ",142 min,8.2,-,"28,559",$0.28M,"In this luminous tale set in the area around Sarajevo and in Italy, Perhan, an engaging young Romany (gypsy) with telekinetic powers, is seduced by the quick-cash world of petty crime, which threatens to destroy him and those he loves."
94,M.S. Dhoni: The Untold Story,(2016),"Biography, Drama, Sport            ",184 min,7.9,-,"44,212",$1.78M,The untold story of Mahendra Singh Dhoni's journey from ticket collector to trophy collector - the world-cup-winning captain of the Indian Cricket Team.
95,Små och stora brott,(1989),"Comedy, Drama            ",104 min,7.9,77        ,"55,692",$18.25M,An ophthalmologist's mistress threatens to reveal their affair to his wife while a married documentary filmmaker is infatuated with another woman.
96,Mot väggen,(2004),"Drama, Romance            ",121 min,7.9,78        ,"52,166",-,"With the intention to break free from the strict familial restrictions, a suicidal young woman sets up a marriage of convenience with a forty-year-old addict, an act that will lead to an outburst of envious love."
97,Toki o kakeru shôjo,(2006),"Animation, Adventure, Comedy            ",98 min,7.7,-,"62,067",-,"A high-school girl named Makoto acquires the power to travel back in time, and decides to use it for her own personal benefits. Little does she know that she is affecting the lives of others just as much as she is her own."
98,"Vi ses igen, barn",(1987),"Drama, War            ",104 min,8.0,88        ,"31,986",$4.54M,"A French boarding school run by priests seems to be a haven from World War II until a new student arrives. He becomes the roommate of the top student in his class. Rivals at first, the roommates form a bond and share a secret."
99,Eskiya,(1996),"Crime, Drama, Thriller            ",128 min,8.2,-,"66,315",-,"Baran the Bandit, released from prison after 35 years, searches for vengeance and his lover."
100,Nefes: Vatan Sagolsun,(2009),"Action, Drama, Thriller            ",128 min,8.0,-,"32,413",-,Story of 40-man Turkish task force who must defend a relay station.
101,Anand,(1971),"Drama, Musical            ",122 min,8.3,-,"32,050",-,"The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend."
102,English Vinglish,(2012),"Comedy, Drama, Family            ",134 min,7.8,-,"34,387",$1.67M,"A quiet, sweet tempered housewife endures small slights from her well-educated husband and daughter every day because of her inability to speak and understand English."
103,Vizontele,(2001),"Comedy, Drama            ",110 min,8.0,-,"34,652",-,Lives of residents in a small Anatolian village change when television is introduced to them
104,Zelig,(1983),Comedy            ,79 min,7.7,-,"40,538",$11.80M,"""Documentary"" about a man who can look and act like whoever he's around, and meets various famous people."
105,Udaan,(2010),Drama            ,134 min,8.2,-,"43,305",$0.01M,"Expelled from his school, a 16-year old boy returns home to his abusive and oppressive father."
106,Vid himlens utkant,(2007),Drama            ,122 min,7.8,85        ,"31,191",$0.74M,A Turkish man travels to Istanbul to find the daughter of his father's former girlfriend.
107,En mycket speciell middag,(1998),Comedy            ,80 min,7.7,73        ,"38,162",$4.07M,"A few friends have a weekly fools' dinner, where each brings a fool along. Pierre finds a champion fool for next dinner. Surprise."
108,OMG: Oh My God!,(2012),"Comedy, Drama, Fantasy            ",125 min,8.1,-,"53,704",$0.92M,A shopkeeper takes God to court when his shop is destroyed by an earthquake.
109,Chak De! India,(2007),"Drama, Family, Sport            ",153 min,8.2,68        ,"76,038",$1.11M,"Kabir Khan, the coach of the Indian Women's National Hockey Team, dreams of making his all-girls team emerge victorious against all odds."
110,Cirkus,(1928),"Comedy, Romance            ",72 min,8.1,90        ,"31,181",-,The Tramp finds work and the girl of his dreams at a circus.
111,Lage Raho Munna Bhai,(2006),"Comedy, Drama, Romance            ",144 min,8.0,-,"44,232",$2.22M,Munna Bhai embarks on a journey with Mahatma Gandhi in order to fight against a corrupt property dealer.
112,Vicky Donor,(2012),"Comedy, Romance            ",126 min,7.8,-,"40,719",$0.17M,"A man is brought in by an infertility doctor to supply him with his sperm, where he becomes the biggest sperm donor for his clinic."
113,Raazi,(2018),"Action, Drama, Thriller            ",138 min,7.8,-,"26,746",-,A Kashmiri woman agrees to marry a Pakistani army officer in order to spy on Pakistan during the Indo-Pakistan War of 1971.
114,Den stora illusionen,(1937),"Drama, War            ",113 min,8.1,-,"34,506",$0.17M,"During WWI, two French soldiers are captured and imprisoned in a German P.O.W. camp. Several escape attempts follow until they are eventually sent to a seemingly inescapable fortress."
115,Knockin' on Heaven's Door,(1997),"Action, Crime, Comedy            ",87 min,7.9,-,"28,360",$0.00M,"Two terminally ill patients escape from a hospital, steal a car and rush towards the sea."
116,Sholay,(1975),"Action, Adventure, Comedy            ",204 min,8.2,-,"52,681",-,"After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit."
117,Mupparnas julsaga,(1992),"Comedy, Drama, Family            ",85 min,7.7,64        ,"51,022",$27.28M,The Muppet characters tell their version of the classic tale of an old and bitter miser's redemption on Christmas Eve.
118,"Fart, flickor och faror",(1924),"Action, Comedy, Romance            ",45 min,8.2,-,"44,105",$0.98M,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch."
119,Paan Singh Tomar,(2012),"Action, Biography, Crime            ",135 min,8.2,-,"34,301",$0.04M,"The story of Paan Singh Tomar, an Indian athlete and seven-time national steeplechase champion who becomes one of the most feared dacoits in Chambal Valley after his retirement."
120,Fiendeland,(2005),"Drama, History, Music            ",116 min,7.7,70        ,"28,321",$1.05M,"In December 1914, an unofficial Christmas truce on the Western Front allows soldiers from opposing sides of the First World War to gain insight into each other's way of life."
121,Black,(2005),Drama            ,122 min,8.2,-,"33,833",$0.73M,"The cathartic tale of a young woman who can't see, hear or talk and the teacher who brings a ray of light into her dark world."
122,Nine Queens,(2000),"Crime, Drama, Thriller            ",114 min,7.9,80        ,"50,688",$1.22M,"Two con artists try to swindle a stamp collector by selling him a sheet of counterfeit rare stamps (the ""nine queens"")."
123,Kai po che!,(2013),"Drama, Sport            ",130 min,7.8,40        ,"34,231",$1.12M,Three friends growing up in India at the turn of the millennium set out to open a training academy to produce the country's next cricket stars.
124,Död och pina,(1975),"Comedy, War            ",85 min,7.7,89        ,"36,778",-,"In czarist Russia, a neurotic soldier and his distant cousin formulate a plot to assassinate Napoleon."
125,Spelets regler,(1939),"Comedy, Drama            ",110 min,8.0,-,"27,279",-,"A bourgeois life in France at the onset of World War II, as the rich and their poor servants meet up at a French chateau."
126,Galakväll på operan,(1935),"Comedy, Music, Musical            ",96 min,7.9,-,"31,157",$2.54M,A sly business manager and two wacky friends of two opera singers help them achieve success while humiliating their stuffy and snobbish enemies.
127,Hiroshima - min älskade,(1959),"Drama, Romance            ",90 min,7.9,-,"29,402",$0.09M,A French actress filming an anti-war film in Hiroshima has an affair with a married Japanese architect as they share their differing perspectives on war.
128,Hämnden,(2010),"Drama, Romance            ",118 min,7.6,65        ,"38,959",$1.01M,"The lives of two Danish families cross each other, and an extraordinary but risky friendship comes into bud. But loneliness, frailty and sorrow lie in wait."
129,G.O.R.A.,(2004),"Adventure, Comedy, Sci-Fi            ",127 min,8.0,-,"58,837",-,A slick young Turk kidnapped by extraterrestrials shows his great « humanitarian spirit » by outwitting the evil commander-in-chief of the planet of G.O.R.A.
130,Den lilla butiken,(1940),"Comedy, Drama, Romance            ",99 min,8.1,96        ,"29,283",$0.20M,"Two employees at a gift shop can barely stand each other, without realizing that they are falling in love through the post as each other's anonymous pen pal."
131,A Wednesday,(2008),"Action, Crime, Drama            ",104 min,8.1,-,"75,289",-,A retiring police officer reminisces about the most astounding day of his career. About a case that was never filed but continues to haunt him in his memories - the case of a man and a Wednesday.
132,Glödhett,(1949),"Action, Crime, Drama            ",114 min,8.1,-,"30,538",-,A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.
133,Airlift,(2016),"Drama, History            ",130 min,8.0,-,"54,074",-,"When Iraq invades Kuwait in August 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen."
134,Waltz with Bashir,(2008),"Animation, Biography, Drama            ",90 min,8.0,91        ,"55,813",$2.28M,An Israeli film director interviews fellow veterans of the 1982 invasion of Lebanon to reconstruct his own memories of his term of service in that conflict.
135,Jungfrukällan,(1960),Drama            ,89 min,8.1,-,"27,393",$1.53M,"An innocent yet pampered young virgin and her family's pregnant and jealous servant set out to deliver candles to church, but only one returns from events that transpire in the woods along the way."
136,Mandarinodlaren,(2013),"Drama, War            ",87 min,8.2,73        ,"42,894",$0.14M,"In 1992, war rages in Abkhazia, a breakaway region of Georgia. An Estonian man Ivo has decided to stay behind and harvest his crops of tangerines. In a bloody conflict at his door, a wounded man is left behind, and Ivo takes him in."
137,Brotherhood of War - Taegukgi,(2004),"Action, Drama, War            ",140 min,8.0,64        ,"38,282",$1.11M,"When two brothers are forced to fight in the Korean War, the elder decides to take the riskiest missions if it will help shield the younger from battle."
138,C.R.A.Z.Y.,(2005),"Comedy, Drama            ",129 min,7.9,81        ,"31,730",-,"A young French Canadian, one of five boys in a conservative family in the 1960s and 1970s, struggles to reconcile his emerging identity with his father's values."
139,Andaz Apna Apna,(1994),"Action, Comedy, Romance            ",160 min,8.1,-,"50,979",-,Two slackers competing for the affections of an heiress inadvertently become her protectors from an evil criminal.
140,Central do Brasil,(1998),Drama            ,110 min,8.0,80        ,"37,359",$5.60M,"An emotive journey of a former school teacher, who writes letters for illiterate people, and a young boy, whose mother has just died, as they search for the father he never knew."
141,Sanjuro,(1962),"Action, Comedy, Crime            ",96 min,8.1,-,"34,125",-,"A crafty samurai helps a young man and his fellow clansmen trying to save his uncle, who has been framed and imprisoned by a corrupt superintendent."
142,Udta Punjab,(2016),"Action, Crime, Drama            ",148 min,7.8,-,"28,150",-,A story that revolves around drug abuse in the affluent north Indian State of Punjab and how the youth there have succumbed to it en-masse resulting in a socio-economic decline.
143,Förspillda dagar,(1945),"Drama, Film-Noir            ",101 min,7.9,-,"34,380",$9.46M,The desperate life of a chronic alcoholic is followed through a four-day drinking bout.
144,Dev.D,(2009),"Drama, Romance            ",144 min,8.0,-,"29,377",$0.01M,"After breaking up with his childhood sweetheart, a young man finds solace in drugs. Meanwhile, a teenage girl is caught in the world of prostitution. Will they be destroyed, or will they find redemption?"
145,Det förflutna,(2013),"Drama, Mystery            ",130 min,7.7,85        ,"45,864",$1.33M,"An Iranian man deserts his French wife and her two children to return to his homeland. Meanwhile, his wife starts up a new relationship, a reality her husband confronts upon his wife's request for a divorce."
